"id","name"
38,"ADP_LT1002"
37,"ADP_PT1005"
40,"Cond - Flow"
19,"FT1001"
44,"FT1002"
30,"FT1003"
29,"FT1004"
28,"FT1005"
43,"FT1006"
42,"IIoT Radar FWR 30"
26,"LT1001"
24,"LT1002"
25,"LT1003"
21,"LT1004"
27,"LT1005"
22,"PT1001"
34,"PT1002"
20,"PT1003"
18,"PT1005"
32,"QT1001"
33,"QT1002"
31,"SWG70"
35,"Smart System Liquiline"
23,"TT1001"
17,"TT1002"
39,"TT1003"
36,"TT1004"
41,"pH - Flow"
